Rk ATL,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,TOV%,ORB%,FT/FGA,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
BKN,54,2020-02-20,@,PHI,L,104,112,99.4,107,94.8,12.3,28.8,0.216,36,102,0.353,10,34,0.294,22,28,0.786,15,49,22,3,1,16,27
BKN,55,2020-02-22,@,CHO,W,115,86,119,89,96.6,9.5,20,0.161,42,87,0.483,17,47,0.362,14,19,0.737,9,54,26,10,6,10,20
BKN,56,2020-02-24,,ORL,L,113,115,116.3,118.3,97.2,10.8,27.7,0.052,46,96,0.479,16,37,0.432,5,8,0.625,13,49,29,6,3,12,19
BKN,57,2020-02-26,@,WAS,L,106,110,104.1,108,101.8,15,33.3,0.276,36,87,0.414,10,36,0.278,24,35,0.686,15,56,15,7,1,18,24
BKN,58,2020-02-28,@,ATL,L,118,141,116,138.6,101.7,9.8,15.9,0.174,42,92,0.457,18,46,0.391,16,21,0.762,7,38,30,5,8,11,19
BKN,59,2020-02-29,@,MIA,L,113,116,118.3,121.5,95.5,9.4,18.6,0.198,40,86,0.465,16,44,0.364,17,23,0.739,8,44,30,3,3,10,23
BKN,60,2020-03-03,@,BOS,W,129,120,116.8,108.7,100,14.6,43.1,0.29,43,100,0.43,14,49,0.286,29,38,0.763,22,63,22,7,6,20,26
BKN,61,2020-03-04,,MEM,L,79,118,84.2,125.8,93.8,11.8,24.1,0.133,30,90,0.333,7,42,0.167,12,17,0.706,13,42,15,6,4,13,17
BKN,62,2020-03-06,,SAS,W,139,120,131,113.1,106.1,6,20,0.229,51,96,0.531,15,36,0.417,22,31,0.71,9,52,32,1,2,7,22
BKN,63,2020-03-08,,CHI,W,110,107,106.7,103.8,103.1,25.4,16.1,0.547,32,64,0.5,11,30,0.367,35,41,0.854,5,50,21,4,5,28,24
BKN,64,2020-03-10,@,LAL,W,104,102,109.5,107.4,95,9.1,26.9,0.189,37,90,0.411,13,40,0.325,17,23,0.739,14,47,24,7,3,10,18
BOS,1,2019-10-23,@,PHI,L,93,107,91.4,105.2,101.8,8.7,16.7,0.222,33,90,0.367,7,26,0.269,20,34,0.588,10,41,18,4,2,10,29
BOS,2,2019-10-25,,TOR,W,112,106,110.7,104.7,101.2,7.2,33.9,0.138,42,109,0.385,13,38,0.342,15,16,0.938,21,56,21,10,8,9,20
BOS,3,2019-10-26,@,NYK,W,118,95,115.8,93.3,101.9,10.2,25,0.204,42,93,0.452,15,41,0.366,19,29,0.655,13,46,24,14,9,12,26
BOS,4,2019-10-30,,MIL,W,116,105,113.3,102.6,102.4,8.2,11.1,0.185,41,92,0.446,17,41,0.415,17,21,0.81,5,45,25,4,4,9,20
BOS,5,2019-11-01,,NYK,W,104,102,107.4,105.3,96.9,13.9,7.9,0.365,33,74,0.446,11,34,0.324,27,29,0.931,3,44,21,7,4,14,16
BOS,6,2019-11-05,@,CLE,W,119,113,118.4,112.5,100.5,13.3,11.1,0.129,48,85,0.565,12,30,0.4,11,15,0.733,4,45,24,5,12,14,23
BOS,7,2019-11-07,@,CHO,W,108,87,104.8,84.4,103.1,10.4,21.6,0.194,40,93,0.43,10,33,0.303,18,23,0.783,11,52,29,13,5,12,19
BOS,8,2019-11-09,@,SAS,W,135,115,130.1,110.8,103.8,7,16.3,0.266,48,94,0.511,14,37,0.378,25,28,0.893,7,43,28,11,11,8,25
BOS,9,2019-11-11,,DAL,W,116,106,125.2,114.4,92.6,8.5,23.3,0.221,41,86,0.477,15,35,0.429,19,25,0.76,10,46,25,4,5,9,27
BOS,10,2019-11-13,,WAS,W,140,133,133.6,127,104.8,9.2,27,0.271,49,96,0.51,16,36,0.444,26,29,0.897,10,44,32,5,5,11,26
BOS,11,2019-11-15,@,GSW,W,105,100,102.8,97.9,102.1,12.2,20.4,0.198,37,91,0.407,13,33,0.394,18,23,0.783,11,47,24,13,5,14,24
BOS,12,2019-11-17,@,SAC,L,99,100,105.2,106.3,94.1,13.1,22.2,0.256,34,82,0.415,10,30,0.333,21,24,0.875,10,46,26,7,3,14,14
BOS,13,2019-11-18,@,PHO,W,99,85,100.4,86.2,98.6,15,22.9,0.146,37,89,0.416,12,41,0.293,13,17,0.765,11,52,22,12,5,17,21
BOS,14,2019-11-20,@,LAC,L,104,107,98.5,101.3,95.6,13.4,31.6,0.096,41,104,0.394,12,45,0.267,10,14,0.714,18,53,26,11,2,17,22
BOS,15,2019-11-22,@,DEN,L,92,96,95.5,99.6,96.4,10.8,11.9,0.235,33,81,0.407,7,27,0.259,19,23,0.826,5,40,21,12,6,11,19
BOS,16,2019-11-25,,SAC,W,103,102,114.6,113.5,89.9,10.4,28.2,0.235,38,85,0.447,7,30,0.233,20,23,0.87,11,38,20,10,4,11,16
BOS,17,2019-11-27,,BRK,W,121,110,123,111.8,98.4,11.5,41.3,0.227,43,97,0.443,13,34,0.382,22,24,0.917,19,55,23,10,5,14,17
BOS,18,2019-11-29,@,BRK,L,107,112,104.9,109.8,102,15.7,30.8,0.172,41,93,0.441,9,28,0.321,16,21,0.762,16,48,16,11,7,19,14
BOS,19,2019-12-01,@,NYK,W,113,104,118.4,109,95.5,11.2,34,0.172,41,93,0.441,15,41,0.366,16,22,0.727,16,44,25,5,7,13,28
BOS,20,2019-12-04,,MIA,W,112,93,121.7,101.1,92,9.7,23.8,0.329,35,79,0.443,16,41,0.39,26,32,0.813,10,46,21,8,8,10,20
BOS,21,2019-12-06,,DEN,W,108,95,112.7,99.2,95.8,14.9,12.1,0.085,44,82,0.537,13,35,0.371,7,8,0.875,4,37,21,5,5,15,23
BOS,22,2019-12-09,,CLE,W,110,88,115.8,92.7,95,18.1,15.6,0.064,45,78,0.577,15,27,0.556,5,8,0.625,5,39,22,8,9,18,19
BOS,23,2019-12-11,@,IND,L,117,122,114.3,119.1,102.4,13.4,20.5,0.195,43,87,0.494,14,36,0.389,17,22,0.773,8,44,25,6,4,15,27
BOS,24,2019-12-12,,PHI,L,109,115,118,124.5,92.4,5.7,19.6,0.154,42,91,0.462,11,31,0.355,14,17,0.824,9,33,24,4,7,6,25
BOS,25,2019-12-18,@,DAL,W,109,103,115.3,109,94.5,13.1,30.4,0.314,35,86,0.407,12,38,0.316,27,30,0.9,14,54,13,3,4,15,21
