,Team,G_x,Date,Opp,W/L_x,Tm_x,Opp.1_x,ORtg_x,Pace_x,TOV%_x,ORB%_x,FT/FGA_x,FG_x,FGA_x,FG%_x,3P_x,3PA_x,3P%_x,ORB_x,TRB_x,TOV_x,PF_x,OppDefRtg
92,BOS,26,2019-12-20,DET,W,114,93,111.9,101.9,17.4,34.2,0.174,45,86,0.523,9,27,0.33299999999999996,13,51,20,19,111.9
93,BOS,27,2019-12-22,CHO,W,119,93,128.9,92.3,10.4,28.6,0.14800000000000002,46,88,0.523,14,32,0.43799999999999994,10,57,11,24,128.9
94,BOS,28,2019-12-25,TOR,W,118,102,119.0,99.2,16.2,32.5,0.13,46,92,0.5,14,33,0.424,13,45,19,22,119.0
95,BOS,29,2019-12-27,CLE,W,129,117,128.6,100.3,9.6,27.3,0.179,49,95,0.516,14,40,0.35,12,43,11,23,128.6
96,BOS,30,2019-12-28,TOR,L,97,113,99.5,97.5,13.0,15.6,0.359,31,78,0.397,7,32,0.21899999999999997,7,31,14,17,99.5
97,BOS,31,2019-12-31,CHO,W,109,92,112.8,96.6,9.0,31.3,0.07200000000000001,44,97,0.45399999999999996,14,38,0.368,15,54,10,16,112.8
98,BOS,32,2020-01-03,ATL,W,109,106,104.6,104.2,10.2,25.0,0.226,41,93,0.441,6,25,0.24,12,54,12,16,104.6
99,BOS,33,2020-01-04,CHI,W,111,104,116.8,95.0,17.2,33.3,0.207,43,82,0.524,8,19,0.42100000000000004,13,44,19,22,116.8
100,BOS,34,2020-01-06,WAS,L,94,99,92.9,101.2,13.1,28.6,0.21100000000000002,33,95,0.34700000000000003,8,37,0.21600000000000003,16,55,16,20,92.9
101,BOS,35,2020-01-08,SAS,L,114,129,108.7,104.9,12.8,16.3,0.303,37,89,0.41600000000000004,13,38,0.342,8,39,15,20,108.7
102,BOS,36,2020-01-09,PHI,L,98,109,104.5,93.7,13.3,18.6,0.091,38,88,0.43200000000000005,14,36,0.389,8,38,14,16,104.5
103,BOS,37,2020-01-11,NOP,W,140,105,132.6,105.6,8.5,26.3,0.16,55,100,0.55,14,29,0.483,10,53,10,23,132.6
104,BOS,38,2020-01-13,CHI,W,113,101,117.5,96.1,11.1,24.4,0.313,39,83,0.47,9,23,0.391,10,43,12,19,117.5
105,BOS,39,2020-01-15,DET,L,103,116,110.5,93.2,14.0,29.5,0.145,41,83,0.494,9,28,0.321,13,44,15,17,110.5
106,BOS,40,2020-01-16,MIL,L,123,128,118.1,104.1,6.0,18.9,0.22399999999999998,43,98,0.439,15,49,0.306,10,43,7,25,118.1
107,BOS,41,2020-01-18,PHO,L,119,123,110.4,107.8,9.4,8.7,0.20800000000000002,42,96,0.43799999999999994,15,42,0.35700000000000004,4,39,11,24,110.4
108,BOS,42,2020-01-20,LAL,W,139,107,137.6,101.0,10.2,36.8,0.204,52,93,0.5589999999999999,16,34,0.47100000000000003,14,48,12,26,137.6
109,BOS,43,2020-01-22,MEM,W,119,95,120.9,98.4,8.4,20.5,0.16899999999999998,45,89,0.506,14,32,0.43799999999999994,9,44,9,14,120.9
110,BOS,44,2020-01-24,ORL,W,109,98,113.8,95.8,12.2,21.4,0.174,40,86,0.465,14,35,0.4,9,44,13,20,113.8
111,BOS,45,2020-01-26,NOP,L,108,123,104.0,103.9,14.0,16.3,0.20199999999999999,41,89,0.461,8,33,0.242,7,37,16,29,104.0
112,BOS,46,2020-01-28,MIA,W,109,101,113.1,96.4,13.0,24.4,0.217,39,83,0.47,13,36,0.361,11,48,14,22,113.1
113,BOS,47,2020-01-30,GSW,W,119,104,117.0,101.7,18.4,34.1,0.22699999999999998,42,88,0.47700000000000004,15,35,0.429,14,51,22,24,117.0
114,BOS,48,2020-02-01,PHI,W,116,95,121.2,95.7,9.3,20.9,0.4,38,80,0.475,8,30,0.267,9,42,10,20,121.2
115,BOS,49,2020-02-03,ATL,W,123,115,122.4,100.5,13.3,29.7,0.16699999999999998,48,90,0.5329999999999999,12,29,0.414,11,44,15,22,122.4
116,BOS,50,2020-02-05,ORL,W,116,100,120.9,95.9,11.4,16.7,0.128,46,86,0.535,13,23,0.565,6,41,12,19,120.9
117,BOS,51,2020-02-07,ATL,W,112,107,115.6,96.9,11.7,24.4,0.256,37,86,0.43,16,37,0.43200000000000005,11,47,13,18,115.6
118,BOS,52,2020-02-09,OKC,W,112,111,121.4,92.3,8.6,30.4,0.23800000000000002,38,84,0.452,16,36,0.444,14,53,9,24,121.4
119,BOS,53,2020-02-11,HOU,L,105,116,102.4,102.5,15.8,20.0,0.235,37,85,0.435,11,32,0.344,10,48,18,26,102.4
120,BOS,54,2020-02-13,LAC,W,141,133,114.1,102.3,10.4,14.6,0.32,45,103,0.43700000000000006,18,43,0.419,7,51,14,28,114.1
121,BOS,55,2020-02-21,MIN,W,127,117,124.1,102.3,8.2,31.4,0.305,44,95,0.46299999999999997,10,29,0.345,16,58,10,26,124.1
122,BOS,56,2020-02-23,LAL,L,112,114,109.2,102.5,15.0,18.6,0.27699999999999997,38,83,0.45799999999999996,13,34,0.382,8,44,17,29,109.2
123,BOS,57,2020-02-25,POR,W,118,106,116.8,101.0,12.7,19.5,0.14400000000000002,43,90,0.478,19,39,0.48700000000000004,8,45,14,19,116.8
124,BOS,58,2020-02-26,UTA,W,114,103,128.1,89.0,8.1,24.3,0.155,45,84,0.536,11,26,0.423,9,44,8,17,128.1
125,BOS,59,2020-02-29,HOU,L,110,111,102.6,97.1,11.2,25.5,0.19,39,100,0.39,13,42,0.31,14,54,14,18,102.6
126,BOS,60,2020-03-03,BRK,L,120,129,108.7,100.0,11.7,24.1,0.165,44,103,0.42700000000000005,15,49,0.306,13,42,15,30,108.7
127,BOS,61,2020-03-04,CLE,W,112,106,120.9,92.7,10.1,28.3,0.244,40,86,0.465,11,30,0.36700000000000005,13,49,11,20,120.9
128,BOS,62,2020-03-06,UTA,L,94,99,99.8,94.2,10.5,28.9,0.149,35,94,0.37200000000000005,10,36,0.278,13,45,12,13,99.8
129,BOS,63,2020-03-08,OKC,L,104,105,102.7,101.3,11.5,23.9,0.163,38,92,0.413,13,37,0.35100000000000003,11,46,13,25,102.7
130,BOS,64,2020-03-10,IND,W,114,111,117.5,97.1,7.2,25.0,0.204,41,93,0.441,13,37,0.35100000000000003,11,46,8,15,117.5
131,CHI,1,2019-10-23,CHO,L,125,126,123.0,101.6,8.0,38.5,0.171,49,105,0.467,9,30,0.3,20,49,10,20,123.0
132,CHI,2,2019-10-25,MEM,W,110,102,105.7,104.0,11.2,18.0,0.19399999999999998,40,93,0.43,12,42,0.28600000000000003,9,45,13,21,105.7
133,CHI,3,2019-10-26,TOR,L,84,108,80.8,104.0,12.2,19.7,0.175,29,97,0.299,9,35,0.257,12,45,15,22,80.8
134,CHI,4,2019-10-28,NYK,L,98,105,104.1,94.2,8.7,17.4,0.2,36,85,0.424,9,35,0.257,8,38,9,22,104.1
